rank,team,sp_plus,fpi,elo,returning_prod,talent,epa_net,sp_plus_norm,fpi_norm,elo_norm,returning_norm,talent_norm,epa_norm,composite,offense.rating,defense.rating,coaching_flag,sagarin,sagarin_norm
92,Miami (OH),-4.0,-6.994,1430.0,0.139,,,-4.0,-6.994,-2.3333333333333335,-5.5852941176470585,0.0,0.0,-5.350196886336984,19.2,23.8,,56.45,-5.983479608127113
93,Liberty,-5.3,-7.748,1458.7,0.383,,,-5.3,-7.748,-1.3766666666666652,-0.7052941176470584,0.0,0.0,-5.4586647914432955,26.0,31.1,,58.2,-5.079394328307311
94,Utah State,-7.9,-6.707,1462.2,0.652,,,-7.9,-6.707,-1.2599999999999985,4.674705882352942,0.0,0.0,-5.878131377531361,23.4,30.8,,55.26,-6.598257598404581
95,Marshall,-8.2,-8.786,1477.6,0.988,,,-8.2,-8.786,-0.7466666666666697,11.394705882352941,0.0,0.0,-6.050168345605023,27.6,36.0,,57.57,-5.4048650290424405
96,Oregon State,-5.6,-8.101,1255.0,0.579,,,-5.6,-8.101,-8.166666666666666,3.2147058823529404,0.0,0.0,-6.243000790501535,21.2,26.1,New HC: JaMarcus Shephard (first_time_hc) | adj=-1.0pts,56.18,-6.122967051299312
97,Troy,-8.0,-7.359,1418.8,0.353,,,-8.0,-7.359,-2.7066666666666683,-1.305294117647059,0.0,0.0,-6.438817968742668,22.5,30.7,,56.23,-6.097136043304463
98,Jacksonville State,-7.8,-8.463,1493.7,0.495,,,-7.8,-8.463,-0.2099999999999985,1.5347058823529414,0.0,0.0,-6.468400952073179,24.8,32.0,,55.87,-6.283119300867393
99,North Texas,-11.6,-6.401,1646.3,0.025,,,-11.6,-6.401,4.876666666666665,-7.865294117647058,0.0,0.0,-6.772613391432008,23.7,35.0,New HC: Neal Brown (experienced_hc),56.76,-5.823327358559037
100,Tulsa,-6.1,-8.963,1227.0,0.413,,,-6.1,-8.963,-9.1,-0.10529411764705898,0.0,0.0,-6.88558770485613,24.2,30.9,,56.53,-5.942149995335352
101,Louisiana,-10.6,-8.278,1383.8,0.919,,,-10.6,-8.278,-3.873333333333335,10.014705882352942,0.0,0.0,-7.147642766881723,24.4,34.6,,55.07,-6.6964154287850155
102,Florida Atlantic,-6.1,-11.256,1274.6,0.684,,,-6.1,-11.256,-7.513333333333336,5.314705882352943,0.0,0.0,-7.183367322456092,27.7,34.3,,57.47,-5.456527045032145
103,Louisiana Tech,-9.1,-9.556,1451.7,0.639,,,-9.1,-9.556,-1.6099999999999985,4.4147058823529415,0.0,0.0,-7.282968615029244,21.9,31.0,,54.99,-6.737745041576777
104,Delaware,-12.9,-6.555,1399.2,0.849,,,-12.9,-6.555,-3.3599999999999985,8.614705882352942,0.0,0.0,-7.345957871965458,22.8,35.4,,53.94,-7.28019620946866
105,Ohio,-11.8,-7.957,1558.8,0.625,,,-11.8,-7.957,1.9599999999999984,4.134705882352941,0.0,0.0,-7.433894921032165,14.1,25.3,New HC: John Hauser (interim),53.0,-7.765819159771867
106,Temple,-9.1,-8.6,1303.3,0.37,,,-9.1,-8.6,-6.556666666666668,-0.9652941176470586,0.0,0.0,-7.542634958552623,25.0,34.4,,55.61,-6.41744054244062
107,Georgia Southern,-10.8,-8.701,1369.8,0.058,,,-10.8,-8.701,-4.340000000000002,-7.205294117647059,0.0,0.0,-8.446651733071866,22.7,33.5,,53.34,-7.590168305406875
108,Arkansas State,-11.6,-9.153,1371.9,0.3,,,-11.6,-9.153,-4.269999999999997,-2.3652941176470588,0.0,0.0,-8.526696644186739,22.1,33.8,,53.82,-7.342190628656303
109,UConn,-11.9,-11.163,1483.9,0.023,,,-11.9,-11.163,-0.5366666666666636,-7.905294117647058,0.0,0.0,-9.13341096827179,19.9,32.4,,55.22,-6.618922404800462
110,Kennesaw State,-12.9,-9.012,1367.0,0.061,,,-12.9,-9.012,-4.433333333333334,-7.145294117647058,0.0,0.0,-9.147968399738533,19.5,31.8,,53.34,-7.590168305406875
111,App State,-12.7,-9.767,1301.2,0.379,,,-12.7,-9.767,-6.626666666666665,-0.7852941176470585,0.0,0.0,-9.163676234927166,20.8,33.9,,53.78,-7.362855435052183
112,South Alabama,-14.6,-10.531,1385.2,0.786,,,-14.6,-10.531,-3.8266666666666653,7.354705882352942,0.0,0.0,-9.335485927982486,22.0,35.9,,53.75,-7.3783540398490945
113,Colorado State,-11.6,-12.364,1258.5,0.396,,,-11.6,-12.364,-8.05,-0.4452941176470582,0.0,0.0,-9.741017080305847,16.8,28.3,New HC: Jim Mora (experienced_hc) | adj=+1.0pts,54.84,-6.8152380655613305
114,Nevada,-11.7,-11.931,1343.9,0.355,,,-11.7,-11.931,-5.2033333333333305,-1.265294117647059,0.0,0.0,-9.747835201117311,17.6,29.7,,52.05,-8.256608311674047
115,Wyoming,-10.8,-13.069,1356.5,0.23,,,-10.8,-13.069,-4.783333333333333,-3.7652941176470582,0.0,0.0,-9.786636439556956,15.5,25.6,,53.8,-7.352523031854245
116,Southern Miss,-20.7,-5.053,1342.5,0.902,,,-20.7,-5.053,-5.25,9.674705882352942,0.0,0.0,-9.852590344135946,17.8,38.0,New HC: Blake Anderson (experienced_hc),47.34,-10.689889264789054
117,Buffalo,-12.7,-10.782,1358.6,-0.008,,,-12.7,-10.782,-4.7133333333333365,-8.525294117647059,0.0,0.0,-10.289317942297577,15.3,28.5,,49.06,-9.801302589766163
118,Florida International,-14.5,-12.58,1376.8,0.316,,,-14.5,-12.58,-4.106666666666668,-2.0452941176470585,0.0,0.0,-10.719344382598164,21.1,35.3,,51.97,-8.297937924465808
