team,elo
Apprentice School,1473.1
Angelo State,1472.9
FDU Florham,1472.8
University of Mary,1472.6
Southern Connecticut State,1472.5
Marian (IN),1472.3
Tennessee State,1472.3
Muskingum,1471.9
Thomas,1471.9
Reinhardt,1471.6
Chadron State,1471.5
Gallaudet,1471.2
Aurora,1471.2
Emory & Henry,1470.8
Guilford,1470.4
Davidson,1470.3
Northern Colorado,1470.3
Cornell (IA),1470.2
Idaho,1469.7
Bluffton,1469.7
Pittsburg State,1469.6
Minot State,1469.6
Chowan,1469.1
Maine Maritime,1469.0
Glenville State,1468.8
Nebraska Kearney,1468.4
Hilbert,1468.3
Ferrum,1467.8
Lafayette,1467.7
Gannon,1467.7
Abilene Christian,1467.5
Maine,1467.3
Thiel,1467.3
Carleton,1467.2
Greenville,1467.1
Southern Virginia,1466.7
Buffalo State,1466.5
Rutgers,1466.3
Monroe,1466.0
Webber International,1465.9
Houston Christian,1465.8
Clark Atlanta,1465.7
Northwestern (OK),1465.6
Duquesne,1465.5
Liberty,1465.3
The Citadel,1464.8
Central Methodist,1464.5
Thomas More,1463.9
Utah State,1463.6
Delaware,1463.6
Post,1463.2
Bethune-Cookman,1463.2
Utah Tech,1463.1
Truman State,1462.9
Texas A&M-Kingsville,1462.4
Elizabeth City State,1461.8
Central State,1461.3
Towson,1459.3
Louisiana,1458.4
Winona State,1458.3
Holy Cross,1458.3
Fordham,1457.6
UVA Wise,1457.4
Lane College,1457.3
Delta State,1456.8
Drake,1456.7
Charleston (WV),1456.4
Portland State,1455.9
Adams State,1455.0
West Texas,1454.9
Central Connecticut,1454.8
Gardner-Webb,1454.0
Stanford,1453.7
Quincy,1453.6
UT Permian Basin,1453.5
Virginia Lynchburg,1453.2
Lawrence Tech,1452.9
Jamestown,1452.5
Northwestern (IA),1451.9
Chicago State,1451.9
South Alabama,1451.7
Johnson C. Smith,1451.2
William Woods,1450.7
Livingstone,1450.6
Bucknell,1450.2
Fairmont State,1449.8
Northern Michigan,1449.7
Oklahoma Panhandle,1449.7
Missouri Western,1449.1
Texas Wesleyan,1448.9
Samford,1448.3
SE Louisiana,1448.2
East Texas A&M,1448.2
Troy,1447.8
St. Francis (IL),1447.6
Barton,1447.1
Kennesaw State,1446.7
Charleston Southern,1446.4
Savannah State,1446.2
Merrimack,1446.1
Georgia Southern,1444.5
Northwestern State,1444.2
Indiana State,1442.3
Bluefield State,1441.3
Morehouse,1440.7
West Georgia,1440.5
Southern Miss,1440.5
Winston-Salem State,1440.4
Murray State,1439.3
Colorado,1438.5
North Carolina,1437.1
McKendree,1436.6
Long Island University,1436.3
Hawai'i,1432.0
Miami (OH),1431.6
Miles,1431.5
Eastern Kentucky,1429.7
North Carolina A&T,1427.1
Nevada,1426.4
UCLA,1425.2
Mississippi Valley State,1424.1
VMI,1422.4
Buffalo,1420.8
Western Kentucky,1419.2
California,1419.0
New Hampshire,1416.4
App State,1413.2
Mercyhurst,1412.0
Boston College,1411.9
West Virginia,1410.3
Eastern Michigan,1408.1
Florida International,1406.9
Missouri State,1406.9
Temple,1404.6
Purdue,1404.2
Arkansas State,1397.1
Syracuse,1393.8
Middle Tennessee,1376.4
Bowling Green,1374.9
New Mexico State,1370.0
Wyoming,1367.8
Northern Illinois,1363.8
Georgia State,1363.1
Colorado State,1362.7
Central Michigan,1352.9
San José State,1336.0
UAB,1335.7
Rice,1330.5
Tulsa,1330.3
Florida Atlantic,1330.2
Coastal Carolina,1322.2
Oregon State,1319.1
UTEP,1315.0
Akron,1295.0
Oklahoma State,1287.5
Charlotte,1259.8
Ball State,1258.2
UL Monroe,1251.6
Kent State,1249.5
Sam Houston,1247.5
Massachusetts,1135.3
