week,homeTeam,awayTeam,home_score,away_score,model_spread,vegas_spread,edge_spread,model_total,vegas_total,edge_total,actual_margin,actual_total,confidence,grade,bet_spread,bet_total,won_spread,won_total
1,Buffalo,UAlbany,21,17,-23.1,-18.5,-4.6,53.5,47.5,6.0,4.0,38.0,0.8,B,Home,Over,False,False
1,Bowling Green,Tarleton State,13,20,-0.5,-1.6666666666666667,1.2,53.5,49.0,4.5,-7.0,33.0,0.8,C,,Over,,False
1,Sacramento State,Mississippi Valley State,52,0,-23.1,-38.0,14.9,53.5,56.5,-3.0,52.0,52.0,0.8,A+,Away,,False,
2,Akron,Robert Morris,45,10,-11.3,-26.5,15.2,53.5,45.5,8.0,35.0,55.0,0.8,A+,Away,Over,False,True
2,Ball State,Stony Brook,41,17,-6.6,-13.5,6.9,53.5,52.666666666666664,0.8,24.0,58.0,0.8,B,Away,,False,
2,Florida International,Buffalo,33,20,-2.1,-8.666666666666666,6.6,48.8,47.5,1.3,13.0,53.0,0.8,B,Away,,False,
2,Central Michigan,Colgate,13,10,-10.5,-18.5,8.0,53.5,49.0,4.5,3.0,23.0,0.8,A,Away,Over,True,False
2,Kent State,Wofford,36,15,-7.8,-10.333333333333334,2.5,53.5,46.0,7.5,21.0,51.0,0.8,A,,Over,,True
2,Miami (OH),Holy Cross,45,7,-28.1,-30.5,2.4,53.5,47.0,6.5,38.0,52.0,0.8,B,,Over,,True
2,Ohio,Jacksonville State,29,27,-2.2,-1.6666666666666667,-0.5,44.8,49.333333333333336,-4.5,2.0,56.0,0.7,C,,Under,,False
2,Toledo,Central Connecticut,63,10,-25.4,-36.5,11.1,53.5,52.5,1.0,53.0,73.0,0.8,A+,Away,,False,
2,Massachusetts,Sacred Heart,37,10,-9.4,-23.5,14.1,53.5,53.5,0.0,27.0,47.0,0.8,A+,Away,,False,
2,Western Michigan,Monmouth,49,14,-18.2,-29.166666666666668,11.0,53.5,54.5,-1.0,35.0,63.0,0.8,A+,Away,,False,
1,Georgia State,North Carolina A&T,59,10,-23.1,-28.333333333333332,5.2,53.5,59.333333333333336,-5.8,49.0,69.0,0.8,B,Away,Under,False,False
1,App State,Maine,55,3,-26.9,-20.833333333333332,-6.1,53.5,53.666666666666664,-0.2,52.0,58.0,0.8,B,Home,,True,
2,LSU,Louisiana Tech,45,14,-26.0,-34.666666666666664,8.7,54.9,55.0,-0.1,31.0,59.0,0.8,A,Away,,True,
1,Middle Tennessee,Murray State,38,14,-26.8,-22.5,-4.3,53.5,55.666666666666664,-2.2,24.0,52.0,0.8,C,Home,,True,
2,James Madison,Wagner,87,3,-28.4,-46.5,18.1,53.5,56.666666666666664,-3.2,84.0,90.0,0.8,A+,Away,Under,False,False
1,Old Dominion,Norfolk State,31,10,-21.0,-41.333333333333336,20.3,53.5,52.333333333333336,1.2,21.0,41.0,0.8,A+,Away,,True,
2,Coastal Carolina,Fordham,45,7,-26.2,-36.833333333333336,10.6,53.5,54.5,-1.0,38.0,52.0,0.8,A+,Away,,False,
1,Jacksonville State,Eastern Kentucky,49,7,-26.6,-22.333333333333332,-4.3,53.5,52.0,1.5,42.0,56.0,0.8,C,Home,,True,
1,Georgia Southern,Charleston Southern,31,0,-26.4,-28.333333333333332,1.9,53.5,51.833333333333336,1.7,31.0,31.0,0.8,,,,,
2,Liberty,Gardner-Webb,24,23,-22.5,-28.833333333333332,6.3,53.5,55.5,-2.0,1.0,47.0,0.8,B,Away,,True,
2,Arkansas State,West Georgia,52,7,-22.9,-31.5,8.6,53.5,56.5,-3.0,45.0,59.0,0.8,A,Away,,False,
1,South Alabama,SE Louisiana,39,14,-23.1,-13.666666666666666,-9.4,53.5,53.5,0.0,25.0,53.0,0.8,A,Home,,True,
2,Troy,Alabama State,34,17,-14.9,-23.666666666666668,8.8,53.5,52.5,1.0,17.0,51.0,0.8,A,Away,,True,
1,Southern Miss,Alcorn State,49,3,-21.5,-19.833333333333332,-1.7,53.5,51.333333333333336,2.2,46.0,52.0,0.8,,,,,
1,Louisiana Tech,Northwestern State,80,6,-45.5,-44.5,-1.0,53.5,56.5,-3.0,74.0,86.0,0.8,,,,,
1,Louisiana,Lamar,38,7,-17.7,-20.333333333333332,2.6,53.5,48.5,5.0,31.0,45.0,0.8,C,,Over,,False
2,Kennesaw State,Georgia State,17,31,-9.5,-7.333333333333333,-2.2,58.1,55.5,2.6,-14.0,48.0,0.8,,,,,
1,James Madison,Liberty,20,13,-4.1,-6.0,1.9,55.5,50.5,5.0,7.0,33.0,0.8,C,,Over,,False
1,Troy,Sam Houston,24,21,-9.5,-16.166666666666668,6.7,55.0,52.666666666666664,2.3,3.0,45.0,0.8,B,Away,,True,
1,New Mexico State,Mercyhurst,51,14,-30.6,-29.166666666666668,-1.4,53.5,52.333333333333336,1.2,37.0,65.0,0.8,,,,,
2,Marshall,Middle Tennessee,28,26,-11.6,-12.333333333333334,0.7,62.1,55.833333333333336,6.3,2.0,54.0,0.8,B,,Over,,False
2,Missouri State,Lindenwood,48,14,-15.0,-16.666666666666668,1.7,53.5,53.333333333333336,0.2,34.0,62.0,0.8,,,,,
